READING_DATETIME,GENERAL_SUPPLY_KWH
2013-02-02,127340.77199999991
2013-02-03,126181.31500000051
2013-02-04,119278.69899999985
2013-02-05,119524.69699999984
2013-02-06,124276.01099999972
2013-02-07,129600.12099999971
2013-02-08,146770.7100000005
2013-02-09,169365.17699999968
2013-02-10,174997.12299999996
2013-02-11,127350.00899999985
2013-02-12,125057.4340000004
2013-02-13,123805.25200000028
2013-02-14,125505.63499999985
2013-02-15,125283.32899999972
2013-02-16,135665.5449999999
2013-02-17,137588.69300000073
2013-02-18,131613.49099999986
2013-02-19,139392.38299999997
2013-02-20,142098.98500000036
2013-02-21,138168.68099999966
2013-02-22,131960.95900000006
2013-02-23,145209.95299999995
2013-02-24,174063.68899999987
2013-02-25,170709.44900000023
2013-02-26,150449.14099999986
2013-02-27,155531.77699999997
2013-02-28,146817.04699999932
2013-03-01,137311.23600000018
2013-03-02,146357.00700000068
2013-03-03,146372.9909999994
2013-03-04,136105.095
2013-03-05,136352.64800000045
2013-03-06,140075.467
2013-03-07,141250.40900000013
2013-03-08,139062.81600000075
2013-03-09,147966.49000000002
2013-03-10,154693.66099999985
2013-03-11,148338.51500000007
2013-03-12,144001.89899999968
2013-03-13,144073.38299999983
2013-03-14,141513.33399999968
2013-03-15,140226.1670000003
2013-03-16,157215.58200000046
2013-03-17,146276.64000000042
2013-03-18,133768.15899999999
2013-03-19,132305.1420000001
2013-03-20,134505.45399999944
2013-03-21,138532.57100000023
2013-03-22,156712.94599999982
2013-03-23,174739.14700000014
2013-03-24,190281.01400000014
2013-03-25,161078.2159999998
2013-03-26,161590.04700000002
2013-03-27,172743.50199999998
2013-03-28,176868.69100000084
2013-03-29,145564.46799999962
2013-03-30,134934.51700000075
2013-03-31,137943.3419999997
2013-04-01,143832.77799999967
2013-04-02,137027.0669999999
2013-04-03,143905.6919999995
2013-04-04,142591.2070000007
2013-04-05,136788.95099999977
2013-04-06,145198.0289999997
2013-04-07,149614.14499999981
2013-04-08,140987.59999999995
2013-04-09,142121.75199999957
2013-04-10,138835.5989999998
2013-04-11,137936.47200000007
2013-04-12,138076.52299999978
2013-04-13,142876.6269999997
2013-04-14,148408.88299999989
2013-04-15,144152.68600000002
2013-04-16,146011.91899999903
2013-04-17,141373.34600000104
2013-04-18,140775.4850000001
2013-04-19,145146.0170000002
2013-04-20,176303.8489999988
2013-04-21,163691.42099999965
2013-04-22,152660.8829999994
2013-04-23,148341.04899999956
2013-04-24,146790.6310000008
2013-04-25,156055.52300000054
2013-04-26,148221.095
2013-04-27,148137.07900000046
2013-04-28,152673.3590000006
2013-04-29,147882.00599999996
2013-04-30,147532.47599999994
2013-05-01,146013.44200000045
2013-05-02,149917.93200000003
2013-05-03,152062.56400000048
2013-05-04,161765.58500000005
2013-05-05,168245.5979999991
2013-05-06,167185.7820000007
2013-05-07,166498.00499999974
2013-05-08,164690.14099999983
2013-05-09,159669.49500000032
2013-05-10,160646.0119999999
2013-05-11,169650.49299999935
2013-05-12,167585.4640000002
2013-05-13,168861.1570000001
2013-05-14,172901.01200000083
2013-05-15,181560.69799999983
2013-05-16,175794.02599999993
2013-05-17,182364.65600000074
2013-05-18,193611.174
2013-05-19,207689.19799999945
2013-05-20,204804.67799999926
2013-05-21,190605.11100000053
2013-05-22,211735.5060000006
2013-05-23,219981.5699999995
2013-05-24,202487.03100000037
2013-05-25,201451.60499999934
2013-05-26,215472.17299999998
2013-05-27,225873.47700000062
2013-05-28,204451.5039999995
2013-05-29,191664.52799999982
2013-05-30,188865.60800000012
2013-05-31,181504.76500000022
2013-06-01,196214.8450000009
2013-06-02,245465.8249999991
2013-06-03,222318.29900000012
2013-06-04,216976.52900000053
2013-06-05,218223.056999999
2013-06-06,209893.77599999998
2013-06-07,189902.0840000011
2013-06-08,205653.69400000141
2013-06-09,200492.25799999922
2013-06-10,223155.1170000005
2013-06-11,205188.99399999986
2013-06-12,232475.77399999934
2013-06-13,212035.44299999994
2013-06-14,214766.05800000078
2013-06-15,222705.6629999996
2013-06-16,238208.341999999
2013-06-17,247539.58299999934
2013-06-18,236900.74099999855
2013-06-19,253614.88900000043
2013-06-20,253650.3449999989
2013-06-21,252496.5609999993
2013-06-22,277216.69800000027
2013-06-23,290318.65300000226
2013-06-24,262320.21400000097
2013-06-25,271923.29900000035
2013-06-26,244579.45599999922
2013-06-27,235105.66100000008
2013-06-28,239878.93699999913
2013-06-29,257295.23400000075
2013-06-30,270509.194000001
2013-07-01,245372.9550000002
2013-07-02,238604.76600000222
2013-07-03,241179.15800000037
2013-07-04,223239.447
2013-07-05,215153.69500000073
2013-07-06,252483.46299999976
2013-07-07,264629.59299999964
2013-07-08,265126.6439999999
2013-07-09,283258.49500000017
2013-07-10,272570.52399999945
2013-07-11,253471.6830000005
2013-07-12,253278.48499999943
2013-07-13,257225.0520000005
2013-07-14,255339.43399999972
2013-07-15,240338.91099999988
2013-07-16,216915.8570000008
2013-07-17,198164.46400000114
2013-07-18,196145.95200000016
2013-07-19,208112.84099999946
2013-07-20,215968.62200000006
2013-07-21,259299.30300000022
2013-07-22,265653.5340000008
2013-07-23,264197.9290000013
2013-07-24,258441.83499999967
2013-07-25,245582.89400000026
2013-07-26,247084.6040000003
2013-07-27,247450.63700000098
2013-07-28,258711.40000000005
2013-07-29,219691.58100000076
2013-07-30,216617.80499999964
2013-07-31,219986.9180000008
2013-08-01,225228.00700000065
2013-08-02,227680.2700000005
2013-08-03,227020.42800000068
2013-08-04,238007.5619999994
2013-08-05,229034.25099999981
2013-08-06,207768.60900000078
2013-08-07,210176.15600000013
2013-08-08,261295.58799999903
2013-08-09,233569.3529999998
2013-08-10,207610.53700000074
2013-08-11,212792.59400000004
2013-08-12,202557.44799999995
